Gauge	PSMSL_ID	Short_Name	Lat	Lon	Long_Name	Region	Basin	Record_Start	Record_End	N_Obs	QA_YR1	QA_YR2	QA_Yrs	QA_frac	QA_Pass	Adj
285A	157	Buen	-34.67	-58.5	Buenos Aires	Argentina	Atlantic	1905	1961	20819	1905	1961	57	1	TRUE	0.366950524
331A	822	Bris	-27.37	153.17	Brisbane	Australia	Pacific	1984	2016	12054	1984	2016	33	0.98	TRUE	0.169577635
166A	1159	Broo	-18	122.22	Broome	Australia	Indian	1986	2016	11323	1986	2016	31	0.87	TRUE	-0.04028194
332A	1154	Bund	-24.77	152.37	Bundaberg	Australia	Pacific	1984	2016	12054	1984	2016	33	0.99	TRUE	0.071270637
171A	983	Coco	-12.12	96.88	Cocos	Australia	Indian	1985	2016	11688	1985	2016	32	0.93	TRUE	0.026447523
168A	935	Darw	-12.47	130.83	Darwin	Australia	Indian	1984	2016	12054	1984	2016	33	0.98	TRUE	0.082499985
176A	1114	Espe	-33.87	121.88	Esperance	Australia	Indian	1985	2016	11688	1985	2016	32	0.98	TRUE	0.035930549
333A	65	Fort	-33.85	151.22	Fort Denison	Australia	Pacific	1965	2015	18627	1965	2015	51	0.94	TRUE	0.017972248
175A	111	Frem	-32.05	115.73	Fremantle	Australia	Indian	1984	2015	11688	1984	2015	32	0.98	TRUE	0.041654858
335A	1216	Spri	-42.53	147.92	Spring Bay	Australia	Pacific	1985	2016	11688	1985	2016	32	0.96	TRUE	-0.010870308
334A	637	Town	-19.25	146.83	Townsville	Australia	Pacific	1984	2016	12054	1984	2016	33	0.99	TRUE	0.130450366
281A	726	Cana	-25.02	-47.92	Cananeia-A	Brazil	Atlantic	1954	2006	19358	1954	2006	53	0.98	TRUE	0.066193732
280A	1032	Ilha	-22.88	-43.15	"Ilha Fiscal,RJ"	Brazil	Atlantic	1963	2013	18628	1963	2013	51	0.95	TRUE	0.064648699
GESLA_1258	554	Aler	50.587	-126.931	"Alert Bay, BC"	Canada	Pacific	1945	1979	11086	1945	1979	35	0.91	TRUE	-0.039256655
GESLA_0640	1242	Bamf	48.836	-125.136	"Bamfield, BC"	Canada	Pacific	1969	2015	16211	1969	2015	47	0.98	TRUE	-0.032035204
GESLA_1079	984	Bell	52.163	-128.143	"Bella Bella, BC"	Canada	Pacific	1906	2015	19217	1951	2015	65	0.81	TRUE	0.034702645
GESLA_0986	1323	Camp	50.042	-125.247	"Campbell River, BC"	Canada	Pacific	1958	2015	16050	1961	2015	55	0.81	TRUE	-0.391085563
GESLA_0440	688	Fulf	48.769	-123.451	"Fulford Harbour, BC"	Canada	Pacific	1952	1992	14343	1952	1992	41	0.97	TRUE	0.065168094
GESLA_0997	1245	New-	49.2	-122.91	"New Westminster, BC"	Canada	Pacific	1959	2015	15763	1962	2015	54	0.81	TRUE	-0.169058389
GESLA_0896	1152	Patr	48.654	-123.451	"Patricia Bay, BC"	Canada	Pacific	1966	2015	14096	1968	2015	48	0.81	TRUE	0.09687722
GESLA_1241	193	Poin	49.337	-123.253	"Point Atkinson, BC"	Canada	Pacific	1914	2015	27053	1933	2015	83	0.8	TRUE	-0.093956261
GESLA_0502	1071	Port	50.722	-127.489	"Port Hardy, BC"	Canada	Pacific	1945	2015	18184	1953	2015	63	0.8	TRUE	0.028377907
540A	167	Prin	54.32	-130.32	"Prince Rupert, BC"	Canada	Pacific	1909	2018	40177	1923	2018	96	0.8	TRUE	-0.022728799
GESLA_1073	829	Quee	53.252	-132.072	"Queen Charlotte City, BC"	Canada	Pacific	1957	2015	18475	1957	2015	59	0.88	TRUE	-0.079257575
GESLA_0652	1255	Stev	49.125	-123.181	"Steveston, BC"	Canada	Pacific	1969	2001	10306	1969	2001	33	0.87	TRUE	-0.139981137
542A	165	Tofi	49.15	-125.9	"Tofino, BC"	Canada	Pacific	1909	2018	40177	1929	2018	90	0.8	TRUE	0.046027346
GESLA_0453	175	Vanc	49.287	-123.11	"Vancouver, BC"	Canada	Pacific	1909	2015	31654	1909	2015	107	0.82	TRUE	-0.037063864
543A	166	Vict	48.42	-123.37	"Victoria, BC"	Canada	Pacific	1909	2018	40177	1909	2018	110	0.99	TRUE	0.017267059
274A	447	Chur	58.77	-94.18	"Churchill, MB"	Canada	Atlantic	1961	2018	21184	1961	2018	58	0.91	TRUE	-0.145700196
GESLA_1246	1349	Lowe	47.083	-64.883	"Lower Escuminac, NB"	Canada	Atlantic	1963	2015	14161	1967	2015	49	0.8	TRUE	0.065070317
GESLA_0713	195	Sain	45.251	-66.063	"Saint John, NB"	Canada	Atlantic	1900	2015	32954	1903	2015	113	0.8	TRUE	0.001947664
GESLA_0339	1321	Arge	47.3	-53.983	"Argentia, NF"	Canada	Atlantic	1971	2015	14660	1971	2015	45	0.91	TRUE	0.022241574
GESLA_0655	392	Port	47.567	-59.133	"Port-aux-Basques, NF"	Canada	Atlantic	1935	2015	19077	1953	2015	63	0.8	TRUE	0.023628724
276A	393	St. 	47.57	-52.7	"St. John's-A, NF"	Canada	Atlantic	1935	2018	31046	1957	2018	62	0.8	TRUE	0.014814502
275A	96	Hali	44.67	-63.58	"Halifax, NS"	Canada	Atlantic	1895	2014	43829	1899	2014	116	0.8	TRUE	0.040534159
GESLA_1171	1299	Nort	46.217	-60.25	"North Sydney, NS"	Canada	Atlantic	1970	2015	15976	1970	2015	46	0.97	TRUE	0.076957557
GESLA_1238	1158	Yarm	43.833	-66.117	"Yarmouth, NS"	Canada	Atlantic	1900	2015	16956	1960	2015	56	0.81	TRUE	-0.014622272
GESLA_0585	427	Char	46.233	-63.117	"Charlottetown, PEI"	Canada	Atlantic	1911	2015	30908	1911	2015	105	0.81	TRUE	0.376592643
GESLA_1262	1121	Wood	45.683	-62.7	"Wood Islands, PEI"	Canada	Atlantic	1900	1996	10684	1963	1996	34	0.82	TRUE	0.161794509
080A	510	Anto	-23.65	-70.4	Antofagasta	Chile	Pacific	1945	2018	27028	1945	2018	74	0.92	TRUE	0.018096386
022C	1272	East	-27.15	-109.47	Easter-C	Chile	Pacific	1970	2018	17897	1970	2018	49	0.84	TRUE	0.023300632
021B	1644	Juan	-33.63	-78.82	Juan Fernandez-B	Chile	Pacific	1985	2018	12418	1985	2018	34	0.86	TRUE	-0.002887526
684A	472	Puer	-41.48	-72.95	Puerto Montt	Chile	Pacific	1980	2018	14245	1980	2018	39	0.94	TRUE	0.505930549
GESLA_0521	2263	Puer	-54.933	-67.617	Puerto Williams	Chile	Pacific	1964	1998	12213	1964	1998	35	0.95	TRUE	0.03214663
035A	1751	San 	-26.28	-80.1	San Felix	Chile	Pacific	1987	2018	11688	1987	2018	32	0.83	TRUE	0.005341754
081A	499	Valp	-33.02	-71.62	Valparaiso	Chile	Pacific	1944	2018	27394	1944	2018	75	0.86	TRUE	0.021126843
329B	333	Hong	22.3	114.22	Hong Kong-B	China	Pacific	1986	2018	12053	1986	2018	33	0.99	TRUE	0.046976289
376A	727	Xiam	24.45	118.07	Xiamen	China	Pacific	1954	1997	16071	1954	1997	44	1	TRUE	0.087856971
085A	456	Buen	3.88	-77.05	Buenaventura	Colombia	Pacific	1953	2014	22645	1953	2014	62	0.89	TRUE	0.319276012
265A	572	Cart	10.38	-75.53	Cartagena	Colombia	Atlantic	1951	1993	15706	1951	1993	43	0.86	TRUE	-0.097715143
303A	639	Tuma	1.82	-78.72	Tumaco	Colombia	Pacific	1951	2018	24837	1951	2018	68	0.83	TRUE	0.06888807
024A	1450	Penr	-8.97	-158.05	Penrhyn	Cook Islands	Pacific	1977	2017	14975	1977	2017	41	0.94	TRUE	-0.019656455
087A	844	Quep	9.4	-84.17	Quepos-A	Costa Rica	Pacific	1961	1994	12418	1961	1994	34	0.83	TRUE	-0.009203904
GESLA_0098	80	Esbj	55.467	8.433	Esbjerg	Denmark	Atlantic	1950	2015	22988	1950	2015	66	0.96	TRUE	0.076563851
837A	120	Geds	54.57	11.93	Gedser	Denmark	Atlantic	1891	2012	44560	1891	2012	122	0.95	TRUE	0.141719941
838A	119	Horn	56.1	12.47	Hornbaek	Denmark	Atlantic	1891	2012	44560	1891	2012	122	0.96	TRUE	0.08045126
003B	1645	Balt	-0.43	-90.28	Baltra-B	Ecuador	Pacific	1985	2018	12418	1985	2018	34	0.88	TRUE	-0.013416341
091A	544	La L	-2.2	-80.92	La Libertad	Ecuador	Pacific	1949	2017	25202	1949	2017	69	0.94	TRUE	0.051446317
030A	300	Sant	-0.75	-90.3	Santa Cruz	Ecuador	Pacific	1978	2018	14975	1978	2018	41	0.95	TRUE	0.013090126
082A	1302	Acaj	13.58	-89.83	Acajutla-A	El Salvador	Pacific	1962	2001	14610	1962	2001	40	0.94	TRUE	-0.002713997
054A	528	Chuu	7.45	151.85	Chuuk	Fd. St. Micronesia	Pacific	1947	1991	16436	1956	1991	36	0.82	TRUE	0.004316961
029A	1473	Kapi	1.08	154.77	Kapingamarangi	Fd. St. Micronesia	Pacific	1978	2018	14975	1978	2018	41	0.81	TRUE	0.012421328
001B	1370	Pohn	6.98	158.23	Pohnpei-B	Fd. St. Micronesia	Pacific	1974	2004	11323	1974	2004	31	0.97	TRUE	0.004894726
008B	1251	Yap-	9.5	138.12	Yap-B	Fd. St. Micronesia	Pacific	1969	2018	18262	1969	2018	50	0.9	TRUE	-0.00968115
GESLA_0376	249	Dege	60.032	20.385	Degerby	Finland	Atlantic	1970	2014	16069	1970	2014	45	0.98	TRUE	0.044611652
GESLA_1009	315	Hami	60.563	27.179	Hamina	Finland	Atlantic	1970	2014	16071	1970	2014	45	0.98	TRUE	0.097039838
GESLA_0371	28	Hank	59.823	22.977	Hanko	Finland	Atlantic	1970	2014	16071	1970	2014	45	0.98	TRUE	0.053197475
GESLA_0246	14	Hels	60.154	24.956	Helsinki	Finland	Atlantic	1970	2014	16071	1970	2014	45	0.98	TRUE	0.069895236
GESLA_0803	285	Kask	62.344	21.215	Kaskinen	Finland	Atlantic	1970	2014	15999	1970	2014	45	0.97	TRUE	0.053615943
GESLA_0026	229	Kemi	65.673	24.515	Kemi	Finland	Atlantic	1970	2014	15632	1970	2014	45	0.95	TRUE	0.089459346
GESLA_1110	85	Mant	61.594	21.463	Mantyluoto	Finland	Atlantic	1970	2014	15689	1970	2014	45	0.95	TRUE	0.049786271
GESLA_1182	79	Oulu	65.04	25.418	Oulu	Finland	Atlantic	1970	2014	16041	1970	2014	45	0.98	TRUE	0.093190386
GESLA_1265	194	Piet	63.709	22.69	Pietarsaari	Finland	Atlantic	1970	2014	16067	1970	2014	45	0.98	TRUE	0.069247335
GESLA_1140	240	Raah	64.666	24.407	Raahe	Finland	Atlantic	1970	2014	16041	1970	2014	45	0.98	TRUE	0.076814279
GESLA_0209	376	Raum	61.133	21.426	Rauma	Finland	Atlantic	1970	2014	16069	1970	2014	45	0.98	TRUE	0.051574663
GESLA_0998	239	Turk	60.428	22.101	Turku	Finland	Atlantic	1970	2014	16069	1970	2014	45	0.98	TRUE	0.069704732
GESLA_0063	57	Vaas	63.081	21.571	Vaasa	Finland	Atlantic	1970	2014	16071	1970	2014	45	0.98	TRUE	0.059898664
GESLA_0022	1801	Bayo	43.527	-1.515	Bayonne Boucau	France	Atlantic	1967	2014	14116	1967	2014	48	0.82	TRUE	-0.110914308
822A	1	Bres	48.38	-4.48	Brest	France	Atlantic	1846	2018	63187	1846	2018	173	0.92	TRUE	0.160657907
GESLA_0923	467	Cher	49.651	-1.635	Cherbourg	France	Atlantic	1943	2014	14735	1967	2014	48	0.8	TRUE	0.094509488
GESLA_0431	474	Diep	49.929	1.085	Dieppe	France	Atlantic	1954	2014	15591	1954	1992	39	0.82	TRUE	0.218059575
GESLA_0059	468	Dunk	51.048	2.367	Dunkerque	France	Atlantic	1956	2014	16736	1956	1991	36	0.81	TRUE	0.259250862
GESLA_1143	1294	Le-C	48.359	-4.781	Le Conquet	France	Atlantic	1970	2014	15364	1970	2014	45	0.96	TRUE	0.072969859
GESLA_0905	453	Le-H	49.482	0.106	Le Havre	France	Atlantic	1938	2014	16245	1963	2014	52	0.81	TRUE	-0.043523215
824A	61	Mars	43.27	5.35	Marseille	France	Atlantic	1849	2018	62091	1885	1988	104	0.8	TRUE	0.011725319
019A	2134	Noum	-22.23	166.42	Noumea	France	Pacific	1967	2018	18993	1967	2018	52	0.98	TRUE	0.04153897
GESLA_0907	1247	Port	47.644	-3.446	Port-Tudy	France	Atlantic	1966	2014	14333	1966	2014	49	0.82	TRUE	-0.003793617
