Gauge_ID	PSMSL_ID	Station_Name	Country	Basin	Station_Lat	Station_Lon	GPD_Record_Start	GPD_Record_End	MHHW_Exceedances_per_Year
285a	157	Buenos Aires	Argentina	atlantic	-34.67	-58.5	1905	1961	73.40791623
331a	822	Brisbane	Australia	pacific	-27.37	153.17	1984	2016	82.63715233
166a	1159	Broome	Australia	indian	-18	122.22	1986	2016	200.1264826
332a	1154	Bundaberg	Australia	pacific	-24.77	152.37	1984	2016	152.3642388
171a	983	Cocos	Australia	indian	-12.12	96.88	1985	2016	155.1738763
168a	935	Darwin	Australia	indian	-12.47	130.83	1984	2016	185.6690129
176a	1114	Esperance	Australia	indian	-33.87	121.88	1985	2016	153.4303443
333a	65	Fort Denison	Australia	pacific	-33.85	151.22	1965	2015	164.8030543
175a	111	Fremantle	Australia	indian	-32.05	115.73	1984	2015	145.186308
335a	1216	Spring Bay	Australia	pacific	-42.53	147.92	1985	2016	183.2897107
334a	637	Townsville	Australia	pacific	-19.25	146.83	1984	2016	135.8254382
281a	726	Cananeia-A	Brazil	atlantic	-25.02	-47.92	1954	2006	143.6712078
280a	1032	"Ilha Fiscal,RJ"	Brazil	atlantic	-22.88	-43.15	1963	2013	146.1883313
gesla_1258	554	"Alert Bay, BC"	Canada	pacific	50.587	-126.931	1945	1979	195.013802
gesla_0640	1242	"Bamfield, BC"	Canada	pacific	48.836	-125.136	1969	2015	191.9610406
gesla_1079	984	"Bella Bella, BC"	Canada	pacific	52.163	-128.143	1906	2015	165.8459386
gesla_0986	1323	"Campbell River, BC"	Canada	pacific	50.042	-125.247	1958	2015	356.8502419
gesla_0440	688	"Fulford Harbour, BC"	Canada	pacific	48.769	-123.451	1952	1992	125.2763978
gesla_0997	1245	"New Westminster, BC"	Canada	pacific	49.2	-122.91	1959	2015	230.4510816
gesla_0896	1152	"Patricia Bay, BC"	Canada	pacific	48.654	-123.451	1966	2015	104.6537806
gesla_1241	193	"Point Atkinson, BC"	Canada	pacific	49.337	-123.253	1914	2015	229.8825155
gesla_0502	1071	"Port Hardy, BC"	Canada	pacific	50.722	-127.489	1945	2015	169.8063877
540a	167	"Prince Rupert, BC"	Canada	pacific	54.32	-130.32	1909	2018	189.8591162
gesla_1073	829	"Queen Charlotte City, BC"	Canada	pacific	53.252	-132.072	1957	2015	204.52728
gesla_0652	1255	"Steveston, BC"	Canada	pacific	49.125	-123.181	1969	2001	250.7447085
542a	165	"Tofino, BC"	Canada	pacific	49.15	-125.9	1909	2018	154.6957454
gesla_0453	175	"Vancouver, BC"	Canada	pacific	49.287	-123.11	1909	2015	196.0906144
543a	166	"Victoria, BC"	Canada	pacific	48.42	-123.37	1909	2018	154.4122913
274a	447	"Churchill, MB"	Canada	atlantic	58.77	-94.18	1961	2018	243.897739
gesla_1246	1349	"Lower Escuminac, NB"	Canada	atlantic	47.083	-64.883	1963	2015	129.6080932
gesla_0713	195	"Saint John, NB"	Canada	atlantic	45.251	-66.063	1900	2015	166.953659
gesla_0339	1321	"Argentia, NF"	Canada	atlantic	47.3	-53.983	1971	2015	163.6835354
